time,avg_u,avg_c
0.0,0.5416005501614156,0.5416005501614156
0.001,0.5364114969289959,0.5364114969289959
0.002,0.5504192732340356,0.5504192732340356
0.003,0.5428330906666841,0.5428330906666841
0.004,0.539163103597062,0.539163103597062
0.005,0.5462749729992393,0.5462749729992393
0.006,0.5402576316471956,0.5402576316471956
0.007,0.5435102218052411,0.5435102218052411
0.008,0.5159204797844856,0.5159204797844856
0.009000000000000001,0.5248345031180479,0.5248345031180479
0.01,0.5364071158438324,0.5364071158438324
0.011000000000000001,0.5220458576919109,0.5220469095613768
0.012,0.5335603785385591,0.5335616335449994
0.013000000000000001,0.5227842015693789,0.522786306734229
0.014,0.502748459096323,0.5027498289495995
0.015000000000000001,0.5177954784651859,0.517797508388412
0.016,0.5053247370113854,0.5053271347001499
0.017,0.5043515371066845,0.5043542415689803
0.018000000000000002,0.5134295865186322,0.5134334251007558
0.019,0.5076395000984225,0.5076466181502429
0.02,0.506363644406337,0.5063756595419979
0.021,0.5049864506758361,0.5050047198622571
0.022000000000000002,0.4939149766301442,0.49393401708778384
0.023,0.4799650222154689,0.479985144693028
0.024,0.46938843724860446,0.46941341562143196
0.025,0.4693601711179712,0.46939276756185766
0.026000000000000002,0.4620621096787875,0.46209061461872264
0.027,0.45544577351424465,0.4554789380783563
0.028,0.44750514735155666,0.44753818560609665
0.029,0.45273364447986353,0.45276278708933554
0.030000000000000002,0.4351781551629128,0.43520615207515156
0.031,0.43583506028327446,0.43586458168696085
0.032,0.4352884517718529,0.43531871109045256
0.033,0.42201591704543784,0.4220568985988501
0.034,0.420028756513784,0.4200695502751507
0.035,0.4213508677214925,0.42140552589538904
0.036000000000000004,0.42507186044631357,0.42513559532108003
0.037000000000000005,0.4207736979866235,0.42083793501455935
0.038,0.42668724714361483,0.4267630927340543
0.039,0.4382879257638458,0.4383728408388604
0.04,0.44010327508584457,0.44019620265521436
0.041,0.44807305238253897,0.4481749655435977
0.042,0.44820667406655124,0.4483162887744273
0.043000000000000003,0.45746393219295245,0.4575781219741614
0.044000000000000004,0.4499750202596823,0.45007967775732033
0.045000000000000005,0.4541954874636537,0.4542993009697828
0.046,0.4518378208108637,0.4519364923642624
0.047,0.4573746684890236,0.4574872821847098
0.048,0.4608078466467716,0.4609188590294558
0.049,0.4544363572179849,0.4545482591112363
0.05,0.44998733844192695,0.4500859768959423
0.051000000000000004,0.45603622498765556,0.45615912566222405
0.052000000000000005,0.47053734843773415,0.4706974560467888
0.053000000000000005,0.46838979339703857,0.46856488566319915
0.054,0.44998828081777387,0.45017136012358866
0.055,0.44795231320202716,0.4481549715025581
0.056,0.4511033312484705,0.45129066775152343
0.057,0.4435113813378025,0.4437140384536729
0.058,0.447721484744113,0.4479204053866244
0.059000000000000004,0.45006496052443934,0.4502453205932101
0.060000000000000005,0.4543120048881574,0.4544832557150563
0.061000000000000006,0.46238674891124154,0.46258781995343934
0.062,0.4496775510525727,0.44987971033714924
0.063,0.4429659180978408,0.44319506274773185
0.064,0.44668731435213127,0.4469145499887632
0.065,0.4440906618263054,0.4443362589536597
0.066,0.43962728166236,0.4399066957113721
0.067,0.4267690792746553,0.42702668248717063
0.068,0.4204382589755678,0.42071542972302256
0.069,0.4217913725549045,0.42207954673364795
0.07,0.42149606179626165,0.4218001083879779
0.07100000000000001,0.41625295591232836,0.41654581643664745
0.07200000000000001,0.41074091567292276,0.4110107106323288
0.07300000000000001,0.419762584168217,0.42004132259464216
0.07400000000000001,0.41588746503077256,0.4161594434268607
0.075,0.4100591602557939,0.41031072794325407
0.076,0.40403180725434595,0.40428073644175394
0.077,0.4042061610593877,0.4044789630832807
0.078,0.40422454431848215,0.40451383136867125
0.079,0.4053878428850333,0.40571162508138503
0.08,0.4058953165203884,0.4062370044901922
0.081,0.4029361770389883,0.4032753205955619
0.082,0.40229947236262503,0.4026283299197663
0.083,0.3888635721238512,0.38914225579990297
0.084,0.3862982919475465,0.3865518553772714
0.085,0.3798643186709372,0.38013318566759113
0.08600000000000001,0.37617289669639836,0.3764632574680617
0.08700000000000001,0.37312147002903656,0.3733975998547045
0.08800000000000001,0.3774867882751113,0.3777974290926923
0.08900000000000001,0.375995447796751,0.37628687980748493
0.09000000000000001,0.3730524993158875,0.37335799628032196
0.091,0.3700634855206755,0.37035340983614573
0.092,0.3755610302832198,0.3758648765574776
0.093,0.3806669762379455,0.3810347133885389
0.094,0.3891633377730958,0.38958630886573914
0.095,0.38407566721624115,0.38453322181138344
0.096,0.39000212773137904,0.39045557880585624
0.097,0.3915258385818704,0.3920129122709567
0.098,0.3858032286366505,0.38624006162163793
0.099,0.38164026609326857,0.38203707254565317
0.1,0.38115123741747914,0.3815504669496831
0.101,0.3731248751217395,0.3734969484042925
0.10200000000000001,0.37637917244042457,0.3767537565666984
0.10300000000000001,0.3787237697615907,0.3790934072244278
0.10400000000000001,0.3782462932595927,0.3786552722268388
0.10500000000000001,0.37759850933832706,0.3780059397485331
0.10600000000000001,0.37457154614846,0.37498971304182
